beds,bathrooms,Price_Night,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,amenities_count
1.0,1.0,117,5.0,5.0,5.0,5.0,5.0,5.0,41.0
2.0,1.0,88,4.9,4.8,4.9,4.9,4.9,4.7,60.0
1.0,1.0,163,5.0,5.0,5.0,5.0,5.0,4.9,15.0
1.0,1.0,84,5.0,5.0,5.0,5.0,5.0,4.9,45.0
1.0,1.0,113,4.8,4.9,4.9,4.9,4.9,4.7,30.0
3.0,2.0,158,4.6,4.7,4.7,4.7,4.9,4.6,15.0
2.0,1.5,87,5.0,5.0,5.0,4.9,5.0,4.8,47.0
1.0,1.0,222,4.8,4.9,4.9,5.0,4.9,4.6,17.0
1.0,1.0,194,5.0,5.0,5.0,5.0,5.0,4.8,47.0
6.0,1.5,130,4.9,4.9,4.9,4.9,5.0,4.8,20.0
1.0,1.5,125,4.9,4.9,4.9,4.9,5.0,4.7,15.0
1.0,1.0,129,4.8,5.0,5.0,4.9,5.0,4.8,32.0
1.0,1.0,86,4.9,4.9,5.0,4.9,5.0,4.8,33.0
1.0,1.0,113,4.9,5.0,4.9,5.0,5.0,4.8,23.0
1.0,1.0,124,4.8,4.9,5.0,4.9,5.0,4.8,34.0
1.0,1.0,250,5.0,5.0,5.0,5.0,5.0,4.8,49.0
3.0,1.0,120,4.7,4.9,5.0,4.9,5.0,4.8,48.0
